cell_num	coverage_mean	coverage_variance	mutation_rate	dataset	tool	snv_type	tool_setup	fine_tune_type	data_type	eff_seq_err_rate	ado_rate	wild_overdispersion	alternative_overdispersion	zygosity_rate	estimates_type	deletion_rate	insertion_rate	allelic_seq_cov	allelic_seq_cov_raw_var	gamma_shape	population_size	loh_rate
40	5	20	1e-06	0001	sciphi	candidate_snvs	NA	NA	no_cnv	0.0030772641027675	0.161849	10.3831517	2.09682	0.0107251	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0002	sciphi	candidate_snvs	NA	NA	no_cnv	0.0029518569194288	0.169274	13.1288545	2.05455	0.022106	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0003	sciphi	candidate_snvs	NA	NA	no_cnv	0.0028122762530606	0.16354	14.9464335	2.15701	0.0111543	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0004	sciphi	candidate_snvs	NA	NA	no_cnv	0.0029501539892973	0.162976	13.4380443	2.1345400000000003	0.0119027	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0005	sciphi	candidate_snvs	NA	NA	no_cnv	0.002761509231502	0.1569199999999999	15.0156659	2.05375	0.0122423	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0006	sciphi	candidate_snvs	NA	NA	no_cnv	0.0026776903894024	0.144753	16.8774927	2.06398	0.0207007	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0007	sciphi	candidate_snvs	NA	NA	no_cnv	0.0032840822790242	0.173312	9.8396743	2.26378	0.0035181	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0008	sciphi	candidate_snvs	NA	NA	no_cnv	0.0030650241160979	0.1875219999999999	12.2609802	2.11253	0.0168627	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0009	sciphi	candidate_snvs	NA	NA	no_cnv	0.0026856739961697	0.1613919999999999	17.073553999999998	2.08922	0.00823966	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0010	sciphi	candidate_snvs	NA	NA	no_cnv	0.0032436026549394	0.169068	10.1463106	2.14612	0.0166654	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0001	sciphin	candidate_snvs	NA	NA	no_cnv	0.0030423176880121	0.1643869999999999	10.3898091	2.12018	0.0146108	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0002	sciphin	candidate_snvs	NA	NA	no_cnv	0.0029214951147508	0.1738159999999999	13.4312393	2.09782	0.0220958	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0003	sciphin	candidate_snvs	NA	NA	no_cnv	0.0027891139135211	0.169421	15.1857548	2.22865	0.0141155	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0004	sciphin	candidate_snvs	NA	NA	no_cnv	0.0030659476675269	0.1700289999999999	12.9176047	2.1340700000000004	0.0193881	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0005	sciphin	candidate_snvs	NA	NA	no_cnv	0.0027509269529589	0.1533609999999999	14.9464165	2.0419400000000003	0.0128947	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0006	sciphin	candidate_snvs	NA	NA	no_cnv	0.0026892283663269	0.158099	16.771502400000003	2.10871	0.0258647	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0007	sciphin	candidate_snvs	NA	NA	no_cnv	0.0032755185817966	0.167463	10.0050417	2.20329	0.00426484	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0008	sciphin	candidate_snvs	NA	NA	no_cnv	0.0030397626957889	0.2043439999999999	12.401297	2.23598	0.0218197	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0009	sciphin	candidate_snvs	NA	NA	no_cnv	0.0027492383811407	0.1627159999999999	17.124379	2.07084	0.0116713	NA	NA	NA	NA	NA	NA	NA	NA
