cell_num	coverage_mean	coverage_variance	eff_seq_err_rate	ado_rate	mutation_rate	deletion_rate	insertion_rate	dataset	tool	snv_type	tool_setup	fine_tune_type	data_type	true_cell_names	cell_names	true_loci_info	loci_info	true_genotypes	genotypes	true_ternary	ternary	genotype_probs	true_positive	false_positive	true_negative	false_negative	recall	precision	f1_score	fall_out	true_positive_mu	false_positive_mu	true_negative_mu	false_negative_mu	recall_mu	precision_mu	f1_score_mu	fall_out_mu	true_positive_hetero_mu	false_positive_hetero_mu	true_negative_hetero_mu	false_negative_hetero_mu	recall_hetero_mu	precision_hetero_mu	f1_score_hetero_mu	fall_out_hetero_mu	true_positive_homo_mu	false_positive_homo_mu	true_negative_homo_mu	false_negative_homo_mu	recall_homo_mu	precision_homo_mu	f1_score_homo_mu	fall_out_homo_mu	true_homo_mu	true_homo_ref_as_hetero_mu	true_homo_mu_as_homo_ref	true_homo_mu_as_hetero_mu	true_positive_del	false_positive_del	true_negative_del	false_negative_del	recall_del	precision_del	fall_out_del	f1_score_del	true_positive_all_del	false_positive_all_del	true_negative_all_del	false_negative_all_del	recall_all_del	precision_all_del	fall_out_all_del	f1_score_all_del	true_positive_del_alt_left	false_positive_del_alt_left	true_negative_del_alt_left	false_negative_del_alt_left	recall_del_alt_left	precision_del_alt_left	fall_out_del_alt_left	f1_score_del_alt_left	true_positive_del_ref_left	false_positive_del_ref_left	true_negative_del_ref_left	false_negative_del_ref_left	recall_del_ref_left	precision_del_ref_left	fall_out_del_ref_left	f1_score_del_ref_left	true_del_ref_left_as_homo_ref	true_del_ref_left_as_hetero_mu	true_del_alt_left_as_hetero_mu	true_del_alt_left_as_homo_mu	true_positive_amp	false_positive_amp	true_negative_amp	false_negative_amp	recall_amp	precision_amp	fall_out_amp	f1_score_amp
40	20	2	0.001999	0.3	8e-06	8e-07	0.0	0001	monovar	NA	true_parameters	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0001/post_processed/filtered.cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0001/true_evo_events_sites_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0001/post_processed/filtered.loci_info	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0001/true_evo_events_genotypes_numeric	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0001/post_processed/filtered.genotypes	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0001/true_evo_events_ternary_matrix.simple	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0001/post_processed/filtered.ternary	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0001/post_processed/filtered.genotype_probs	5550	3	21681	2726	0.6706138231029483	0.9994597514856834	0.8026610745534746	0.0001383508577753	5456	3	22336	2164	0.7160104986876641	0.9994504488001466	0.8343145500420521	0.0001342942835399	4213	102	22704	2940	0.5889836432266182	0.976361529548088	0.7347401464945937	0.0044725072349381	307	837	28732	83	0.7871794871794872	0.2683566433566433	0.4002607561929596	0.0283066725286617	390	3	6	77	94	0	29227	639	0.1282401091405184	1.0	0.0	0.2273276904474002	0	94	29864	2	0.0	0.0	0.0031377261499432	NA	0	0	29882	78	0.0	NA	0.0	NA	0	0	29307	653	0.0	NA	0.0	NA	582	0	22	29	0	0	29960	0	NA	NA	0.0	NA
40	20	2	0.001999	0.3	8e-06	8e-07	0.0	0002	monovar	NA	true_parameters	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0002/post_processed/filtered.cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0002/true_evo_events_sites_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0002/post_processed/filtered.loci_info	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0002/true_evo_events_genotypes_numeric	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0002/post_processed/filtered.genotypes	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0002/true_evo_events_ternary_matrix.simple	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0002/post_processed/filtered.ternary	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0002/post_processed/filtered.genotype_probs	6546	3	20050	3161	0.6743587102091274	0.999541914796152	0.8053641732283465	0.0001496035505909	6434	3	21016	2303	0.7364083781618405	0.99953394438403	0.8480295241861078	0.0001427280079927	4755	74	21529	3398	0.5832209002821047	0.9846759163387864	0.7325527653674317	0.003425450168958	396	1212	28078	70	0.8497854077253219	0.2462686567164179	0.3818707810993249	0.0413793103448275	466	3	13	57	112	0	28672	976	0.1029411764705882	1.0	0.0	0.1866666666666666	0	112	29648	0	NA	0.0	0.003763440860215	NA	0	0	29638	122	0.0	NA	0.0	NA	0	0	28794	966	0.0	NA	0.0	NA	892	0	14	65	0	0	29760	0	NA	NA	0.0	NA
40	20	2	0.001999	0.3	8e-06	8e-07	0.0	0003	monovar	NA	true_parameters	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0003/post_processed/filtered.cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0003/true_evo_events_sites_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0003/post_processed/filtered.loci_info	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0003/true_evo_events_genotypes_numeric	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0003/post_processed/filtered.genotypes	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0003/true_evo_events_ternary_matrix.simple	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0003/post_processed/filtered.ternary	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0003/post_processed/filtered.genotype_probs	5994	3	21104	2819	0.6801316237376602	0.9994997498749376	0.8094530722484807	0.0001421329416781	5916	3	21856	2141	0.7342683380911009	0.9994931576279776	0.8465941614195764	0.0001372432407703	4426	82	22277	3131	0.5856821490009263	0.981810115350488	0.7336924989639453	0.0036674269868956	357	1054	28429	76	0.8244803695150116	0.253012048192771	0.3872017353579175	0.0357494149170708	433	3	8	68	78	0	29097	745	0.094775212636695	1.0	0.0	0.1731409544950055	0	78	29836	6	0.0	0.0	0.0026074747609814	NA	0	0	29849	71	0.0	NA	0.0	NA	0	0	29174	746	0.0	NA	0.0	NA	692	0	11	31	0	0	29920	0	NA	NA	0.0	NA
40	20	2	0.001999	0.3	8e-06	8e-07	0.0	0004	monovar	NA	true_parameters	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0004/post_processed/filtered.cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0004/true_evo_events_sites_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0004/post_processed/filtered.loci_info	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0004/true_evo_events_genotypes_numeric	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0004/post_processed/filtered.genotypes	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0004/true_evo_events_ternary_matrix.simple	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0004/post_processed/filtered.ternary	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0004/post_processed/filtered.genotype_probs	6704	76	20373	2967	0.6932064936407817	0.9887905604719764	0.8150264421615707	0.0037165631571225	6609	26	21211	2269	0.7444244199143951	0.9960813865862848	0.8520595629472056	0.001224278382069	4636	98	21804	3577	0.5644709606721052	0.9792986903253064	0.7161504595659227	0.0044744772166925	504	1397	28133	81	0.8615384615384616	0.2651236191478169	0.4054706355591311	0.0473078225533355	585	26	9	69	47	98	29149	826	0.0538373424971363	0.3241379310344827	0.0033507710192498	0.0923379174852652	0	145	29975	0	NA	0.0	0.0048140770252324	NA	0	0	30035	85	0.0	NA	0.0	NA	0	0	29332	788	0.0	NA	0.0	NA	766	0	3	52	0	0	30120	0	NA	NA	0.0	NA
40	20	2	0.001999	0.3	8e-06	8e-07	0.0	0005	monovar	NA	true_parameters	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0005/post_processed/filtered.cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0005/true_evo_events_sites_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0005/post_processed/filtered.loci_info	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0005/true_evo_events_genotypes_numeric	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0005/post_processed/filtered.genotypes	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0005/true_evo_events_ternary_matrix.simple	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0005/post_processed/filtered.ternary	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0005/post_processed/filtered.genotype_probs	6511	179	19809	3261	0.66629144494474	0.9732436472346786	0.7910338962458996	0.0089553732239343	6268	3	20927	2559	0.7100940296816586	0.9995216073991388	0.8303086501523381	0.0001433349259436	4566	113	21467	3611	0.5583954995719702	0.9758495405001067	0.7103298070939639	0.0052363299351251	444	1148	28045	120	0.7872340425531915	0.278894472361809	0.411873840445269	0.0393244955982598	564	3	19	87	123	296	28433	908	0.119301648884578	0.2935560859188544	0.0103031779734762	0.1696551724137931	0	419	29322	19	0.0	0.0	0.0140882956188426	NA	0	0	29671	89	0.0	NA	0.0	NA	0	0	28837	923	0.0	NA	0.0	NA	826	0	23	35	0	0	29760	0	NA	NA	0.0	NA
40	20	2	0.001999	0.3	8e-06	8e-07	0.0	0006	monovar	NA	true_parameters	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0006/post_processed/filtered.cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0006/true_evo_events_sites_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0006/post_processed/filtered.loci_info	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0006/true_evo_events_genotypes_numeric	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0006/post_processed/filtered.genotypes	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0006/true_evo_events_ternary_matrix.simple	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0006/post_processed/filtered.ternary	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0006/post_processed/filtered.genotype_probs	4165	1	23734	1980	0.677786818551668	0.999759961593855	0.8078750848608283	4.213187276174426e-05	4137	1	24176	1564	0.7256621645325382	0.999758337361044	0.840939119829251	4.136162468461761e-05	3324	51	24353	2150	0.6072341980270369	0.9848888888888888	0.7512713300937959	0.0020898213407638	163	600	29057	58	0.7375565610859729	0.2136304062909567	0.3313008130081301	0.0202313113261624	221	1	8	50	28	0	29430	422	0.0622222222222222	1.0	0.0	0.1171548117154811	0	28	29852	0	NA	0.0	0.0009370816599732	NA	0	0	29872	8	0.0	NA	0.0	NA	0	0	29438	442	0.0	NA	0.0	NA	417	0	0	3	0	0	29880	0	NA	NA	0.0	NA
40	20	2	0.001999	0.3	8e-06	8e-07	0.0	0007	monovar	NA	true_parameters	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0007/post_processed/filtered.cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0007/true_evo_events_sites_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0007/post_processed/filtered.loci_info	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0007/true_evo_events_genotypes_numeric	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0007/post_processed/filtered.genotypes	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0007/true_evo_events_ternary_matrix.simple	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0007/post_processed/filtered.ternary	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0007/post_processed/filtered.genotype_probs	5713	6	21367	2834	0.6684216684216684	0.9989508655359328	0.8009252768820972	0.0002807280213353	5653	5	22139	2123	0.7269804526748971	0.9991162955107812	0.8415959505731725	0.0002257947976878	4289	111	22456	3064	0.5832993336053311	0.9747727272727272	0.7298562069258914	0.0049186865777462	273	985	28552	110	0.7127937336814621	0.2170111287758346	0.3327239488117002	0.0333480041981243	383	5	18	92	60	1	29108	751	0.0739827373612823	0.9836065573770492	3.435363633240578e-05	0.1376146788990825	0	61	29859	0	NA	0.0	0.0020387700534759	NA	0	0	29880	40	0.0	NA	0.0	NA	0	0	29149	771	0.0	NA	0.0	NA	721	0	14	16	0	0	29920	0	NA	NA	0.0	NA
40	20	2	0.001999	0.3	8e-06	8e-07	0.0	0008	monovar	NA	true_parameters	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0008/post_processed/filtered.cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0008/true_evo_events_sites_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0008/post_processed/filtered.loci_info	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0008/true_evo_events_genotypes_numeric	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0008/post_processed/filtered.genotypes	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0008/true_evo_events_ternary_matrix.simple	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0008/post_processed/filtered.ternary	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0008/post_processed/filtered.genotype_probs	5138	6	22042	2574	0.6662344398340249	0.9988335925349924	0.799315494710641	0.0002721335268505	5080	6	22736	1932	0.7244723331431832	0.998820290994888	0.8398082327657465	0.0002638290387828	3827	56	22993	2878	0.5707680835197614	0.985578161215555	0.7228938420853797	0.0024296064905201	227	976	28500	51	0.8165467625899281	0.1886949293433084	0.3065496286293045	0.0331116840819649	278	6	4	47	58	0	29031	671	0.0795610425240054	1.0	0.0	0.1473951715374841	1	57	29699	3	0.25	0.0172413793103448	0.0019155800510821	0.032258064516129	0	0	29725	35	0.0	NA	0.0	NA	0	0	29070	690	0.0	NA	0.0	NA	640	0	3	19	0	0	29760	0	NA	NA	0.0	NA
40	20	2	0.001999	0.3	8e-06	8e-07	0.0	0009	monovar	NA	true_parameters	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0009/post_processed/filtered.cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0009/true_evo_events_sites_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0009/post_processed/filtered.loci_info	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0009/true_evo_events_genotypes_numeric	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0009/post_processed/filtered.genotypes	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0009/true_evo_events_ternary_matrix.simple	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0009/post_processed/filtered.ternary	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0009/post_processed/filtered.genotype_probs	4476	1	23094	2189	0.6715678919729933	0.9997766361402723	0.8034464189553042	4.329941545789132e-05	4409	1	23610	1736	0.717493897477624	0.9997732426303856	0.8354334438654666	4.235314048536699e-05	3557	82	23800	2317	0.6055498808307797	0.9774663369057434	0.7478187743088405	0.0034335482790386	150	621	28921	64	0.7009345794392523	0.1945525291828793	0.3045685279187817	0.0210209193690339	214	1	7	57	67	0	29183	510	0.1161178509532062	1.0	0.0	0.2080745341614907	13	54	29692	1	0.9285714285714286	0.1940298507462686	0.0018153701337995	0.3209876543209876	0	0	29699	61	0.0	NA	0.0	NA	0	0	29258	502	0.0	NA	0.0	NA	466	0	24	12	0	0	29760	0	NA	NA	0.0	NA
40	20	2	0.001999	0.3	8e-06	8e-07	0.0	0010	monovar	NA	true_parameters	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0010/post_processed/filtered.cell_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0010/true_evo_events_sites_names	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0010/post_processed/filtered.loci_info	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0010/true_evo_events_genotypes_numeric	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0010/post_processed/filtered.genotypes	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/simulated_data/results/data_type/no_cnv/0010/true_evo_events_ternary_matrix.simple	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0010/post_processed/filtered.ternary	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_002/benchmark_results/monovar/from_true_params/no_cnv/0010/post_processed/filtered.genotype_probs	5593	3	21468	2696	0.6747496682350103	0.9994639027877056	0.8056175729204177	0.0001397233477714	5452	3	22288	2017	0.7299504619092247	0.9994500458295142	0.843701640359022	0.0001345834641783	4101	105	22598	2956	0.5811251239903642	0.9750356633380884	0.7282251620349818	0.0046249394353169	238	1011	28423	88	0.7300613496932515	0.1905524419535628	0.3022222222222221	0.0343480328871373	326	3	6	82	141	0	28854	765	0.1556291390728476	1.0	0.0	0.2693409742120343	1	140	29616	3	0.25	0.0070921985815602	0.0047049334587982	0.0137931034482758	0	0	29674	86	0.0	NA	0.0	NA	0	0	28944	816	0.0	NA	0.0	NA	699	0	20	43	0	0	29760	0	NA	NA	0.0	NA
