cell_num	coverage_mean	coverage_variance	mutation_rate	dataset	tool	snv_type	tool_setup	fine_tune_type	data_type	eff_seq_err_rate	ado_rate	wild_overdispersion	alternative_overdispersion	zygosity_rate	estimates_type	deletion_rate	insertion_rate	allelic_seq_cov	allelic_seq_cov_raw_var	gamma_shape	population_size	loh_rate
40	5	20	1e-06	0001	sciphi	candidate_snvs	NA	NA	no_cnv	0.0031555375920155	0.193853	10.3530695	2.16415	0.0014395	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0002	sciphi	candidate_snvs	NA	NA	no_cnv	0.0026075481813063	0.192328	19.5354396	2.0871500000000003	0.00612109	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0003	sciphi	candidate_snvs	NA	NA	no_cnv	0.0030060707255358	0.187122	13.4336826	2.06429	0.0073244	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0004	sciphi	candidate_snvs	NA	NA	no_cnv	0.0033334525693065	0.202584	9.1890613	2.10763	0.0127587	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0005	sciphi	candidate_snvs	NA	NA	no_cnv	0.0027340379524868	0.228269	16.5483438	2.44525	0.00201794	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0006	sciphi	candidate_snvs	NA	NA	no_cnv	0.0027578558516661	0.1992159999999999	16.4556824	2.09378	0.00474664	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0007	sciphi	candidate_snvs	NA	NA	no_cnv	0.002987464655573	0.178934	11.9229193	2.07264	0.00951366	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0008	sciphi	candidate_snvs	NA	NA	no_cnv	0.0026123553181217	0.1926449999999999	19.260014	2.24829	0.00241335	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0009	sciphi	candidate_snvs	NA	NA	no_cnv	0.0029306836612888	0.2016339999999999	13.0261756	2.24364	0.00823013	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0010	sciphi	candidate_snvs	NA	NA	no_cnv	0.0028671365536818	0.1871169999999999	14.3253728	2.28844	0.0149296	NA	NA	NA	NA	NA	NA	NA	NA
