cell_num	coverage_mean	coverage_variance	eff_seq_err_rate	ado_rate	deletion_rate	insertion_rate	dataset	tool	snv_type	tool_setup	fine_tune_type	data_type	candidate_sites_file	true_sites_file	num_candidate_mutated_sites	num_background_sites	tp	fp	fn	recall	precision	f1_score	tp_M	fn_M	recall_M	tp_D	fn_D	recall_D	tp_M&D&(~I)	fn_M&D&(~I)	recall_M&D&(~I)
40	20	2	0.001999	0.16334	8e-07	0.0	0001	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/sciphi/no_cnv/0001/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/simulated_data/results/data_type/no_cnv/0001/true_evo_events_sites_names	527	3889.0	527	0	222	0.7036048064085447	1.0	0.8260188087774295	527	173	0.7528571428571429	45	63	0.4166666666666667	45	14	0.7627118644067796
40	20	2	0.001999	0.16334	8e-07	0.0	0002	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/sciphi/no_cnv/0002/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/simulated_data/results/data_type/no_cnv/0002/true_evo_events_sites_names	510	4313.0	510	0	233	0.6864064602960969	1.0	0.8140462889066241	510	190	0.7285714285714285	47	54	0.4653465346534653	47	11	0.8103448275862069
40	20	2	0.001999	0.16334	8e-07	0.0	0003	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/sciphi/no_cnv/0003/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/simulated_data/results/data_type/no_cnv/0003/true_evo_events_sites_names	440	4120.0	440	0	308	0.5882352941176471	1.0	0.7407407407407407	440	260	0.6285714285714286	26	73	0.2626262626262626	26	25	0.5098039215686274
40	20	2	0.001999	0.16334	8e-07	0.0	0004	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/sciphi/no_cnv/0004/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/simulated_data/results/data_type/no_cnv/0004/true_evo_events_sites_names	549	4094.0	549	0	200	0.732977303070761	1.0	0.8459167950693375	549	151	0.7842857142857143	35	65	0.35	35	16	0.6862745098039216
40	20	2	0.001999	0.16334	8e-07	0.0	0005	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/sciphi/no_cnv/0005/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/simulated_data/results/data_type/no_cnv/0005/true_evo_events_sites_names	415	3869.0	415	0	330	0.5570469798657718	1.0	0.7155172413793104	415	285	0.5928571428571429	34	69	0.3300970873786408	34	24	0.5862068965517241
40	20	2	0.001999	0.16334	8e-07	0.0	0006	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/sciphi/no_cnv/0006/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/simulated_data/results/data_type/no_cnv/0006/true_evo_events_sites_names	534	4596.0	534	0	218	0.7101063829787234	1.0	0.8304821150855366	534	166	0.7628571428571429	45	57	0.4411764705882353	45	5	0.9
40	20	2	0.001999	0.16334	8e-07	0.0	0007	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/sciphi/no_cnv/0007/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/simulated_data/results/data_type/no_cnv/0007/true_evo_events_sites_names	480	4310.0	480	0	266	0.6434316353887399	1.0	0.7830342577487766	480	220	0.6857142857142857	45	61	0.4245283018867924	45	15	0.75
40	20	2	0.001999	0.16334	8e-07	0.0	0008	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/sciphi/no_cnv/0008/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/simulated_data/results/data_type/no_cnv/0008/true_evo_events_sites_names	507	3709.0	507	0	228	0.689795918367347	1.0	0.8164251207729468	507	189	0.728448275862069	43	58	0.4257425742574257	43	19	0.6935483870967742
40	20	2	0.001999	0.16334	8e-07	0.0	0009	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/sciphi/no_cnv/0009/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/simulated_data/results/data_type/no_cnv/0009/true_evo_events_sites_names	512	3347.0	512	0	163	0.7585185185185185	1.0	0.8626790227464195	512	124	0.8050314465408805	46	54	0.46	46	15	0.7540983606557377
40	20	2	0.001999	0.16334	8e-07	0.0	0010	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/sciphi/no_cnv/0010/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_002/benchmark_results/simulated_data/results/data_type/no_cnv/0010/true_evo_events_sites_names	422	5079.0	422	0	324	0.5656836461126006	1.0	0.7226027397260274	422	278	0.6028571428571429	23	68	0.2527472527472527	23	22	0.5111111111111111
