cell_num	coverage_mean	coverage_variance	eff_seq_err_rate	ado_rate	deletion_rate	insertion_rate	dataset	tool	snv_type	tool_setup	fine_tune_type	data_type	candidate_sites_file	true_sites_file	num_candidate_mutated_sites	num_background_sites	tp	fp	fn	recall	precision	f1_score	tp_M	fn_M	recall_M	tp_D	fn_D	recall_D	tp_M&D&(~I)	fn_M&D&(~I)	recall_M&D&(~I)
40	20	2	0.001999	0.16334	7.5e-06	0.0	0001	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/sciphi/no_cnv/0001/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/simulated_data/results/data_type/no_cnv/0001/true_evo_events_sites_names	370	2202.0	370	0	70	0.8409090909090909	1.0	0.9135802469135802	370	56	0.8685446009389671	185	49	0.7905982905982906	185	35	0.8409090909090909
40	20	2	0.001999	0.16334	7.5e-06	0.0	0002	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/sciphi/no_cnv/0002/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/simulated_data/results/data_type/no_cnv/0002/true_evo_events_sites_names	377	2317.0	377	0	84	0.8177874186550976	1.0	0.8997613365155132	377	69	0.8452914798206278	209	51	0.8038461538461539	209	36	0.8530612244897959
40	20	2	0.001999	0.16334	7.5e-06	0.0	0003	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/sciphi/no_cnv/0003/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/simulated_data/results/data_type/no_cnv/0003/true_evo_events_sites_names	263	1399.0	263	0	20	0.9293286219081272	1.0	0.9633699633699634	263	12	0.9563636363636364	160	15	0.9142857142857144	160	7	0.9580838323353292
40	20	2	0.001999	0.16334	7.5e-06	0.0	0004	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/sciphi/no_cnv/0004/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/simulated_data/results/data_type/no_cnv/0004/true_evo_events_sites_names	306	1669.0	306	0	32	0.9053254437869822	1.0	0.9503105590062112	306	21	0.9357798165137616	166	21	0.8877005347593583	166	10	0.9431818181818182
40	20	2	0.001999	0.16334	7.5e-06	0.0	0005	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/sciphi/no_cnv/0005/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/simulated_data/results/data_type/no_cnv/0005/true_evo_events_sites_names	337	1958.0	337	0	57	0.8553299492385786	1.0	0.9220246238030096	337	43	0.8868421052631579	180	40	0.8181818181818182	180	26	0.8737864077669902
40	20	2	0.001999	0.16334	7.5e-06	0.0	0006	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/sciphi/no_cnv/0006/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/simulated_data/results/data_type/no_cnv/0006/true_evo_events_sites_names	273	1532.0	273	0	37	0.8806451612903226	1.0	0.9365351629502572	273	26	0.9130434782608696	155	33	0.824468085106383	155	22	0.8757062146892656
40	20	2	0.001999	0.16334	7.5e-06	0.0	0007	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/sciphi/no_cnv/0007/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/simulated_data/results/data_type/no_cnv/0007/true_evo_events_sites_names	585	5400.0	585	0	155	0.7905405405405406	1.0	0.8830188679245283	585	115	0.8357142857142857	242	95	0.7181008902077152	242	55	0.8148148148148148
40	20	2	0.001999	0.16334	7.5e-06	0.0	0008	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/sciphi/no_cnv/0008/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/simulated_data/results/data_type/no_cnv/0008/true_evo_events_sites_names	572	4650.0	572	0	162	0.779291553133515	1.0	0.8759571209800919	572	128	0.8171428571428572	276	96	0.7419354838709677	276	62	0.8165680473372781
40	20	2	0.001999	0.16334	7.5e-06	0.0	0009	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/sciphi/no_cnv/0009/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/simulated_data/results/data_type/no_cnv/0009/true_evo_events_sites_names	410	2291.0	410	0	54	0.8836206896551724	1.0	0.9382151029748284	410	37	0.9172259507829976	224	36	0.8615384615384616	224	19	0.9218106995884774
40	20	2	0.001999	0.16334	7.5e-06	0.0	0010	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/sciphi/no_cnv/0010/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_006/benchmark_results/simulated_data/results/data_type/no_cnv/0010/true_evo_events_sites_names	358	2047.0	358	0	55	0.8668280871670703	1.0	0.9286640726329444	358	40	0.8994974874371859	182	35	0.8387096774193549	182	20	0.900990099009901
