cell_num	coverage_mean	coverage_variance	mutation_rate	dataset	tool	snv_type	tool_setup	fine_tune_type	data_type	eff_seq_err_rate	ado_rate	wild_overdispersion	alternative_overdispersion	zygosity_rate	estimates_type	deletion_rate	insertion_rate	allelic_seq_cov	allelic_seq_cov_raw_var	gamma_shape	population_size	loh_rate
40	5	20	1e-06	0001	sciphi	candidate_snvs	NA	NA	no_cnv	0.0030122817126369	0.1821169999999999	12.4586289	2.16575	0.00408956	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0002	sciphi	candidate_snvs	NA	NA	no_cnv	0.0027322035158655	0.192767	17.057404299999998	2.11439	0.015115	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0003	sciphi	candidate_snvs	NA	NA	no_cnv	0.0029621964339779	0.185268	13.2966874	2.11633	0.00386611	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0004	sciphi	candidate_snvs	NA	NA	no_cnv	0.0027259826917063	0.1936	15.6741274	2.18611	0.00416864	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0005	sciphi	candidate_snvs	NA	NA	no_cnv	0.0033151850679384	0.2009929999999999	9.0875168	2.1354800000000003	0.00999967	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0006	sciphi	candidate_snvs	NA	NA	no_cnv	0.0029155133954328	0.1778389999999999	13.3588479	2.06386	0.00929748	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0007	sciphi	candidate_snvs	NA	NA	no_cnv	0.0028858656963347	0.194408	13.3887381	2.1371	0.00839056	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0008	sciphi	candidate_snvs	NA	NA	no_cnv	0.0030778802183564	0.168927	11.4379045	2.08279	0.0106152	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0009	sciphi	candidate_snvs	NA	NA	no_cnv	0.0030448397969985	0.2075139999999999	11.2442369	2.32483	0.0164192	NA	NA	NA	NA	NA	NA	NA	NA
40	5	20	1e-06	0010	sciphi	candidate_snvs	NA	NA	no_cnv	0.0029519598154758	0.189936	13.245099	2.11835	0.00861342	NA	NA	NA	NA	NA	NA	NA	NA
