cell_num	coverage_mean	coverage_variance	mutation_rate	dataset	tool	snv_type	tool_setup	fine_tune_type	data_type	eff_seq_err_rate	ado_rate	wild_overdispersion	alternative_overdispersion	zygosity_rate	estimates_type	deletion_rate	insertion_rate	allelic_seq_cov	allelic_seq_cov_raw_var	gamma_shape	population_size	loh_rate
40	20	10	3e-05	0001	sciphi	candidate_snvs	NA	NA	no_cnv	0.0030129466460377	0.389972	13.1541327	2.19274	0.0350131	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	3e-05	0002	sciphi	candidate_snvs	NA	NA	no_cnv	0.0037680739278958	0.3846159999999999	8.588552300000002	2.23282	0.0808446	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	3e-05	0003	sciphi	candidate_snvs	NA	NA	no_cnv	0.0040217039419098	0.42947	10.4258296	2.62609	0.0399203	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	3e-05	0004	sciphi	candidate_snvs	NA	NA	no_cnv	0.0033049019825808	0.342087	7.4935354	2.2652	0.0446409	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	3e-05	0005	sciphi	candidate_snvs	NA	NA	no_cnv	0.0025607241422919	0.3680259999999999	13.9364875	2.0087900000000003	0.0367108	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	3e-05	0006	sciphi	candidate_snvs	NA	NA	no_cnv	0.0019481145255606	0.444948	18.1644865	2.10044	0.0400493	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	3e-05	0007	sciphi	candidate_snvs	NA	NA	no_cnv	0.0029035304527878	0.373044	17.0877147	2.43587	0.0399803	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	3e-05	0008	sciphi	candidate_snvs	NA	NA	no_cnv	0.0028542650985668	0.475008	18.0043893	2.30025	0.0578706	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	3e-05	0009	sciphi	candidate_snvs	NA	NA	no_cnv	0.0028127244235573	0.4260549999999999	17.2145197	2.33646	0.0875289	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	3e-05	0010	sciphi	candidate_snvs	NA	NA	no_cnv	0.0031459361962606	0.442162	11.6158427	2.17977	0.0519994	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	3e-05	0001	sciphin	candidate_snvs	NA	NA	no_cnv	0.002011132934071	0.362448	35.354202	2.6891	0.0896607	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	3e-05	0002	sciphin	candidate_snvs	NA	NA	no_cnv	0.0021069927230686	0.335138	33.0258853	2.50916	0.102114	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	3e-05	0003	sciphin	candidate_snvs	NA	NA	no_cnv	0.0024405338068475	0.3583199999999999	25.881264100000003	2.6986	0.0604695	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	3e-05	0004	sciphin	candidate_snvs	NA	NA	no_cnv	0.0023303269547529	0.365348	27.3407128	2.82823	0.0839784	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	3e-05	0005	sciphin	candidate_snvs	NA	NA	no_cnv	0.0020000003633024	0.365073	49.545491	2.721	0.0711434	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	3e-05	0006	sciphin	candidate_snvs	NA	NA	no_cnv	0.001799453405887	0.3757129999999999	53.6320083	2.73982	0.0666292	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	3e-05	0007	sciphin	candidate_snvs	NA	NA	no_cnv	0.0029034546058275	0.32615	20.5977045	2.67127	0.0590129	NA	NA	NA	NA	NA	NA	NA	NA
40	20	10	3e-05	0008	sciphin	candidate_snvs	NA	NA	no_cnv	0.0020423215874661	0.360467	36.8765137	2.45581	0.105254	NA	NA	NA	NA	NA	NA	NA	NA
