cell_num	coverage_mean	coverage_variance	mutation_rate	dataset	tool	snv_type	tool_setup	fine_tune_type	data_type	eff_seq_err_rate	ado_rate	wild_overdispersion	alternative_overdispersion	zygosity_rate	estimates_type	deletion_rate	insertion_rate	allelic_seq_cov	allelic_seq_cov_raw_var	gamma_shape	population_size	loh_rate
40	20	2	8e-06	0001	sciphi	candidate_snvs	NA	NA	no_cnv	0.0029553455650125	0.3189109999999999	15.3066364	2.46206	0.0243942	NA	NA	NA	NA	NA	NA	NA	NA
40	20	2	8e-06	0002	sciphi	candidate_snvs	NA	NA	no_cnv	0.0024358437069222	0.301805	24.0783511	2.25153	0.0417642	NA	NA	NA	NA	NA	NA	NA	NA
40	20	2	8e-06	0003	sciphi	candidate_snvs	NA	NA	no_cnv	0.0030796789564801	0.364355	15.1521638	2.57495	0.00632324	NA	NA	NA	NA	NA	NA	NA	NA
40	20	2	8e-06	0004	sciphi	candidate_snvs	NA	NA	no_cnv	0.002960869866588	0.3313939999999999	18.7750906	2.37959	0.025944	NA	NA	NA	NA	NA	NA	NA	NA
40	20	2	8e-06	0005	sciphi	candidate_snvs	NA	NA	no_cnv	0.0035765362469377	0.326957	14.612462	2.67193	0.03322	NA	NA	NA	NA	NA	NA	NA	NA
40	20	2	8e-06	0006	sciphi	candidate_snvs	NA	NA	no_cnv	0.0025611391100881	0.299609	24.8016204	2.18733	0.0188468	NA	NA	NA	NA	NA	NA	NA	NA
40	20	2	8e-06	0007	sciphi	candidate_snvs	NA	NA	no_cnv	0.0030554697625534	0.29124	17.757858600000002	2.15675	0.0217918	NA	NA	NA	NA	NA	NA	NA	NA
40	20	2	8e-06	0008	sciphi	candidate_snvs	NA	NA	no_cnv	0.0042315425389891	0.311852	7.6414451	2.38556	0.0321577	NA	NA	NA	NA	NA	NA	NA	NA
40	20	2	8e-06	0009	sciphi	candidate_snvs	NA	NA	no_cnv	0.0027791197000331	0.318532	19.1514241	2.3163	0.0350248	NA	NA	NA	NA	NA	NA	NA	NA
40	20	2	8e-06	0010	sciphi	candidate_snvs	NA	NA	no_cnv	0.0033131298153557	0.296342	14.2325543	2.24824	0.0269074	NA	NA	NA	NA	NA	NA	NA	NA
40	20	2	8e-06	0001	sciphin	candidate_snvs	NA	NA	no_cnv	0.0027338047984621	0.2990319999999999	24.3827577	2.56008	0.0237959	NA	NA	NA	NA	NA	NA	NA	NA
40	20	2	8e-06	0002	sciphin	candidate_snvs	NA	NA	no_cnv	0.0023897214290263	0.315056	31.0131127	2.52399	0.0384378	NA	NA	NA	NA	NA	NA	NA	NA
40	20	2	8e-06	0003	sciphin	candidate_snvs	NA	NA	no_cnv	0.0028159689514501	0.3042169999999999	22.3688901	2.61281	0.00618059	NA	NA	NA	NA	NA	NA	NA	NA
40	20	2	8e-06	0004	sciphin	candidate_snvs	NA	NA	no_cnv	0.0026907497894441	0.310103	23.7055858	2.5308	0.0178965	NA	NA	NA	NA	NA	NA	NA	NA
