cell_num	coverage_mean	coverage_variance	eff_seq_err_rate	ado_rate	deletion_rate	insertion_rate	dataset	tool	snv_type	tool_setup	fine_tune_type	data_type	candidate_sites_file	true_sites_file	num_candidate_mutated_sites	num_background_sites	tp	fp	fn	recall	precision	f1_score	tp_M	fn_M	recall_M	tp_D	fn_D	recall_D	tp_M&D&(~I)	fn_M&D&(~I)	recall_M&D&(~I)
40	20	2	0.001999	0.16334	1e-07	0.0	0001	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphi/no_cnv/0001/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0001/true_evo_events_sites_names	698	9302.0	698	0	595	0.539829853054911	1.0	0.7011551983927674	698	471	0.5970915312232677	7	131	0.0507246376811594	7	7	0.5
40	20	2	0.001999	0.16334	1e-07	0.0	0002	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphi/no_cnv/0002/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0002/true_evo_events_sites_names	686	9314.0	686	0	517	0.5702410640066501	1.0	0.7263102170460561	686	416	0.6225045372050817	11	102	0.0973451327433628	11	1	0.9166666666666666
40	20	2	0.001999	0.16334	1e-07	0.0	0003	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphi/no_cnv/0003/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0003/true_evo_events_sites_names	652	9348.0	652	0	581	0.5287915652879156	1.0	0.6917771883289124	652	460	0.5863309352517986	10	125	0.074074074074074	10	4	0.7142857142857143
40	20	2	0.001999	0.16334	1e-07	0.0	0004	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphi/no_cnv/0004/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0004/true_evo_events_sites_names	526	9474.0	526	0	477	0.5244267198404786	1.0	0.6880313930673643	526	398	0.5692640692640693	5	84	0.0561797752808988	5	5	0.5
40	20	2	0.001999	0.16334	1e-07	0.0	0005	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphi/no_cnv/0005/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0005/true_evo_events_sites_names	732	9268.0	732	0	498	0.5951219512195122	1.0	0.746177370030581	732	379	0.6588658865886589	13	126	0.0935251798561151	13	7	0.65
40	20	2	0.001999	0.16334	1e-07	0.0	0006	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphi/no_cnv/0006/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0006/true_evo_events_sites_names	490	9510.0	490	0	286	0.6314432989690721	1.0	0.7740916271721959	490	233	0.677731673582296	2	57	0.0338983050847457	2	4	0.3333333333333333
40	20	2	0.001999	0.16334	1e-07	0.0	0007	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphi/no_cnv/0007/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0007/true_evo_events_sites_names	808	9192.0	808	0	541	0.5989621942179392	1.0	0.7491886879925823	808	419	0.658516707416463	11	126	0.0802919708029197	11	4	0.7333333333333333
40	20	2	0.001999	0.16334	1e-07	0.0	0008	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphi/no_cnv/0008/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0008/true_evo_events_sites_names	504	9496.0	504	0	550	0.4781783681214421	1.0	0.6469833119383825	504	460	0.5228215767634855	6	93	0.0606060606060606	6	3	0.6666666666666666
40	20	2	0.001999	0.16334	1e-07	0.0	0009	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphi/no_cnv/0009/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0009/true_evo_events_sites_names	713	9287.0	713	0	386	0.6487716105550501	1.0	0.7869757174392936	713	303	0.7017716535433071	4	86	0.0444444444444444	4	3	0.5714285714285714
40	20	2	0.001999	0.16334	1e-07	0.0	0010	sciphi	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphi/no_cnv/0010/sciphi/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0010/true_evo_events_sites_names	758	9242.0	758	0	520	0.593114241001565	1.0	0.7445972495088409	758	419	0.6440101954120646	16	109	0.128	16	8	0.6666666666666666
40	20	2	0.001999	0.16334	1e-07	0.0	0001	sciphin	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphin/no_cnv/0001/sciphin/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0001/true_evo_events_sites_names	698	9302.0	698	0	595	0.539829853054911	1.0	0.7011551983927674	698	471	0.5970915312232677	7	131	0.0507246376811594	7	7	0.5
40	20	2	0.001999	0.16334	1e-07	0.0	0002	sciphin	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphin/no_cnv/0002/sciphin/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0002/true_evo_events_sites_names	686	9314.0	686	0	517	0.5702410640066501	1.0	0.7263102170460561	686	416	0.6225045372050817	11	102	0.0973451327433628	11	1	0.9166666666666666
40	20	2	0.001999	0.16334	1e-07	0.0	0003	sciphin	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphin/no_cnv/0003/sciphin/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0003/true_evo_events_sites_names	652	9348.0	652	0	581	0.5287915652879156	1.0	0.6917771883289124	652	460	0.5863309352517986	10	125	0.074074074074074	10	4	0.7142857142857143
40	20	2	0.001999	0.16334	1e-07	0.0	0004	sciphin	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphin/no_cnv/0004/sciphin/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0004/true_evo_events_sites_names	526	9474.0	526	0	477	0.5244267198404786	1.0	0.6880313930673643	526	398	0.5692640692640693	5	84	0.0561797752808988	5	5	0.5
40	20	2	0.001999	0.16334	1e-07	0.0	0005	sciphin	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphin/no_cnv/0005/sciphin/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0005/true_evo_events_sites_names	732	9268.0	732	0	498	0.5951219512195122	1.0	0.746177370030581	732	379	0.6588658865886589	13	126	0.0935251798561151	13	7	0.65
40	20	2	0.001999	0.16334	1e-07	0.0	0006	sciphin	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphin/no_cnv/0006/sciphin/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0006/true_evo_events_sites_names	490	9510.0	490	0	286	0.6314432989690721	1.0	0.7740916271721959	490	233	0.677731673582296	2	57	0.0338983050847457	2	4	0.3333333333333333
40	20	2	0.001999	0.16334	1e-07	0.0	0007	sciphin	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphin/no_cnv/0007/sciphin/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0007/true_evo_events_sites_names	808	9192.0	808	0	541	0.5989621942179392	1.0	0.7491886879925823	808	419	0.658516707416463	11	126	0.0802919708029197	11	4	0.7333333333333333
40	20	2	0.001999	0.16334	1e-07	0.0	0008	sciphin	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphin/no_cnv/0008/sciphin/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0008/true_evo_events_sites_names	504	9496.0	504	0	550	0.4781783681214421	1.0	0.6469833119383825	504	460	0.5228215767634855	6	93	0.0606060606060606	6	3	0.6666666666666666
40	20	2	0.001999	0.16334	1e-07	0.0	0009	sciphin	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphin/no_cnv/0009/sciphin/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0009/true_evo_events_sites_names	713	9287.0	713	0	386	0.6487716105550501	1.0	0.7869757174392936	713	303	0.7017716535433071	4	86	0.0444444444444444	4	3	0.5714285714285714
40	20	2	0.001999	0.16334	1e-07	0.0	0010	sciphin	candidate_snvs	NA	NA	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/sciphin/no_cnv/0010/sciphin/best_index/nuc.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0010/true_evo_events_sites_names	758	9242.0	758	0	520	0.593114241001565	1.0	0.7445972495088409	758	419	0.6440101954120646	16	109	0.128	16	8	0.6666666666666666
40	20	2	0.001999	0.16334	1e-07	0.0	0001	sieve	candidate_snvs	smc_mu_ld_stage_1	mt	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mu_ld_stage_1/0001/readCounts.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0001/true_evo_events_sites_names	695	9305.0	695	0	598	0.5375096674400619	1.0	0.6991951710261569	695	474	0.5945252352437981	7	131	0.0507246376811594	7	7	0.5
40	20	2	0.001999	0.16334	1e-07	0.0	0002	sieve	candidate_snvs	smc_mu_ld_stage_1	mt	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mu_ld_stage_1/0002/readCounts.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_001/benchmark_results/simulated_data/results/data_type/no_cnv/0002/true_evo_events_sites_names	681	9319.0	681	0	522	0.5660847880299252	1.0	0.7229299363057324	681	421	0.6179673321234119	11	102	0.0973451327433628	11	1	0.9166666666666666
